user,movie,rating
/aeio/,/film/22-jump-street/,",like"
/aeio/,/film/divergent/,",like"
/aeio/,/film/the-lego-movie/,",like"
/aeio/,/film/the-wolf-of-wall-street/,"7,like"
/aeio/,/film/the-hobbit-the-desolation-of-smaug/,",like"
/aeio/,/film/frozen-2013/,",like"
/aeio/,/film/the-hunger-games-catching-fire/,",like"
/celdinner/,/film/hawkeye-2021/,"8,"
/celdinner/,/film/all-too-well-the-short-film/,"6,"
/celdinner/,/film/the-shrink-next-door/,"7,"
/celdinner/,/film/tick-tick-boom-2021/,"7,"
/celdinner/,/film/house-of-gucci/,"5,"
/celdinner/,/film/finch/,
/celdinner/,/film/eternals/,"6,"
/celdinner/,/film/encanto/,"7,"
/celdinner/,/film/no-time-to-die-2021/,"7,"
/celdinner/,/film/the-black-phone/,"4,"
/celdinner/,/film/the-tragedy-of-macbeth/,"10,"
/celdinner/,/film/midnight-mass-2021/,"8,"
/aeio/,/film/were-the-millers/,",like"
/aeio/,/film/the-wolverine/,",like"
/aeio/,/film/despicable-me-2/,",like"
/aeio/,/film/monsters-university/,",like"
/aeio/,/film/the-purge/,",like"
/aeio/,/film/now-you-see-me/,",like"
/aeio/,/film/iron-man-3/,",like"
/aeio/,/film/wreck-it-ralph/,",like"
/aeio/,/film/pitch-perfect/,",like"
/aeio/,/film/hotel-transylvania/,",like"
/aeio/,/film/dredd/,",like"
/aeio/,/film/the-dark-knight-rises/,",like"
/aeio/,/film/ted/,",like"
/celdinner/,/film/my-little-pony-a-new-generation/,"5,"
/celdinner/,/film/squid-game/,"9,"
/celdinner/,/film/venom-let-there-be-carnage/,"7,"
/celdinner/,/film/the-eyes-of-tammy-faye-2021/,"7,"
/celdinner/,/film/scenes-from-a-marriage-2021/,"9,"
/celdinner/,/film/the-last-duel-2021/,"6,"
/celdinner/,/film/the-guilty-2021/,"7,"
/celdinner/,/film/last-night-in-soho/,"5,"
/celdinner/,/film/spencer-2021/,"8,"
/celdinner/,/film/dune-2021/,"10,"
/celdinner/,/film/the-power-of-the-dog/,"8,"
/celdinner/,/film/becoming-cousteau/,"8,"
/aeio/,/film/the-amazing-spider-man/,",like"
/aeio/,/film/brave-2012/,",like"
/aeio/,/film/prometheus/,",like"
/aeio/,/film/the-avengers-2012/,",like"
/aeio/,/film/21-jump-street/,",like"
/aeio/,/film/the-hunger-games/,"6,like"
/celdinner/,/film/cmon-cmon/,"10,"
/celdinner/,/film/hes-all-that/,"4,"
/celdinner/,/film/candyman-2021/,"7,"
/celdinner/,/film/shang-chi-and-the-legend-of-the-ten-rings/,"8,"
/celdinner/,/film/barbie-big-city-big-dreams/,"4,"
/celdinner/,/film/the-green-knight/,"8,"
/celdinner/,/film/the-suicide-squad/,"6,"
/aeio/,/film/puss-in-boots/,"7,like"
/aeio/,/film/hugo/,",like"
/aeio/,/film/rise-of-the-planet-of-the-apes/,",like"
/aeio/,/film/harry-potter-and-the-deathly-hallows-part-2/,",like"
/aeio/,/film/cars-2/,",like"
/aeio/,/film/kung-fu-panda-2/,",like"
/aeio/,/film/x-men-first-class/,",like"
/aeio/,/film/drive-2011/,"7,like"
/aeio/,/film/rango/,"10,like"
/aeio/,/film/little-fockers/,",like"
/aeio/,/film/tangled-2010/,",like"
/aeio/,/film/harry-potter-and-the-deathly-hallows-part-1/,",like"
/celdinner/,/film/old-2021/,"4,"
/celdinner/,/film/titane/,"6,"
/celdinner/,/film/pig-2021/,"8,"
/celdinner/,/film/lamb-2021/,"6,"
/celdinner/,/film/the-french-dispatch/,"8,"
/celdinner/,/film/after-yang/,"9,"
/celdinner/,/film/the-worst-person-in-the-world/,"8,"
/celdinner/,/film/fear-street-1978/,"7,"
/celdinner/,/film/annette/,"6,"
/celdinner/,/film/black-widow-2021/,"8,"
/celdinner/,/film/fear-street-1994/,"7,"
/celdinner/,/film/luca-2021/,"9,"
/aeio/,/film/megamind/,",like"
/aeio/,/film/despicable-me/,",like"
/aeio/,/film/inception/,",like"
/aeio/,/film/uncle-boonmee-who-can-recall-his-past-lives/,"8,like"
/aeio/,/film/shrek-forever-after/,",like"
/aeio/,/film/iron-man-2/,",like"
/aeio/,/film/how-to-train-your-dragon/,"7,like"
/aeio/,/film/kick-ass/,",like"
/aeio/,/film/sherlock-holmes-2009/,",like"
/aeio/,/film/avatar/,"7,like"
/aeio/,/film/the-princess-and-the-frog/,",like"
/aeio/,/film/zombieland/,",like"
/aeio/,/film/cloudy-with-a-chance-of-meatballs/,",like"
/aeio/,/film/redline/,"6,like"
/aeio/,/film/harry-potter-and-the-half-blood-prince/,",like"
/aeio/,/film/up/,",like"
/aeio/,/film/watchmen/,",like"
/aeio/,/film/coraline/,",like"
/aeio/,/film/the-curious-case-of-benjamin-button/,",like"
/aeio/,/film/twilight-2008/,",like"
/aeio/,/film/bolt/,",like"
/aeio/,/film/step-brothers/,"6,like"
/aeio/,/film/the-dark-knight/,",like"
/aeio/,/film/mamma-mia/,",like"
/aeio/,/film/walle/,",like"
/aeio/,/film/kung-fu-panda/,",like"
/aeio/,/film/the-boy-in-the-striped-pyjamas/,",like"
/aeio/,/film/iron-man-2008/,",like"
/aeio/,/film/enchanted/,",like"
/aeio/,/film/bee-movie/,",like"
/aeio/,/film/the-simpsons-movie/,",like"
/aeio/,/film/harry-potter-and-the-order-of-the-phoenix/,",like"
/aeio/,/film/ratatouille/,",like"
/aeio/,/film/shrek-the-third/,",like"
/aeio/,/film/spider-man-3/,",like"
/aeio/,/film/night-at-the-museum/,",like"
/aeio/,/film/the-devil-wears-prada/,",like"
/aeio/,/film/cars/,",like"
/aeio/,/film/little-miss-sunshine/,"8,like"
/aeio/,/film/v-for-vendetta/,",like"
/aeio/,/film/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe/,",like"
/aeio/,/film/harry-potter-and-the-goblet-of-fire/,",like"
/aeio/,/film/corpse-bride/,",like"
/aeio/,/film/batman-begins/,",like"
/aeio/,/film/madagascar/,",like"
/aeio/,/film/meet-the-fockers/,",like"
/aeio/,/film/million-dollar-baby/,",like"
/aeio/,/film/the-spongebob-squarepants-movie/,",like"
/aeio/,/film/the-incredibles/,",like"
/aeio/,/film/shark-tale/,"7,like"
/aeio/,/film/spider-man-2/,",like"
/aeio/,/film/harry-potter-and-the-prisoner-of-azkaban/,",like"
/aeio/,/film/shrek-2/,",like"
/aeio/,/film/mean-girls/,",like"
/aeio/,/film/shaun-of-the-dead/,",like"
